Designator,Mid X,Mid Y,Layer,Rotation
J24,-3041.89,-3447.09,TOP,0
U40,-4106.46,-2653.19,TOP,90
U45,-4048.29,-2294.68,TOP,0
U47,-3202.52,-2649.25,TOP,90
U52,-3190.02,-2215.94,TOP,0
C84,-3664.33,-2426.53,TOP,90
C85,-3900.55,-2245.99,TOP,270
C103,-3959.61,-2584.01,TOP,90
C104,-3601.34,-2049.14,TOP,90
C105,-3286.57,-2186.94,TOP,90
R128,-4156.46,-3017.08,TOP,90
R130,-4061.97,-3016.29,TOP,270
R135,-3577.72,-2368.04,TOP,270
R136,-3699.76,-2344.42,TOP,90
R139,-3231.26,-3076.13,TOP,90
R140,-3261.07,-2350.04,TOP,180
R141,-3152.52,-3076.13,TOP,270
U43,-3510.98,-2578.25,TOP,90
U44,-3570.63,-2211.46,TOP,90
C83,-3691.89,-2729.43,TOP,270
R132,-3542.28,-2052.51,TOP,90
R133,-3560.85,-3153.19,TOP,180
R134,-3469.17,-3153.19,TOP,180
U41,-3874.96,-2602.01,TOP,90
U42,-3874.96,-2365.79,TOP,90
R131,-3691.89,-2572.76,TOP,270
U39,-3863.05,-2830.6,TOP,0
D4,-3861.18,-3060.67,TOP,90
R127,-3754.88,-3040.7,TOP,270
D6,-2995.04,-3080.35,TOP,90
LED24,-3563.28,-3409.09,TOP,0
R137,-3447.8,-3391.09,TOP,90
LED25,-3563.28,-3507.52,TOP,0
R203,-3447.8,-3492.89,TOP,90
C26,-4128.9,-2265.68,TOP,90
C27,-3959.61,-2797.17,TOP,90
R138,-2857.24,-2898.97,TOP,270
R145,-2581.65,-2603.69,TOP,90
U46,-2957.54,-2845.86,TOP,0
C106,-3054.09,-2816.86,TOP,90
R142,-2640.71,-2600.32,TOP,270
C86,-2699.76,-2587.69,TOP,270
U50,-2624.76,-2893.21,TOP,90
R150,-2640.71,-3171.19,TOP,270
R151,-2581.65,-3171.19,TOP,90
R149,-2699.76,-3171.19,TOP,270
U51,-2641.5,-2327.2,TOP,90
LED26,-2638.08,-3586.26,TOP,0
LED27,-2638.08,-3448.46,TOP,0
R204,-2502.91,-3564.89,TOP,270
R205,-2502.91,-3446.78,TOP,90
C111,-2758.82,-2269.05,TOP,90
R147,-2770.63,-2391.09,TOP,90
R148,-2502.91,-2269.05,TOP,90
R146,-2522.6,-2603.69,TOP,270
R144,-2776.82,-2621.69,TOP,180
C110,-2798.19,-2898.97,TOP,270
U49,-2890.71,-2385.47,TOP,90
U48,-2902.52,-2621.69,TOP,90
C107,-2995.04,-2560.95,TOP,270
C108,-2975.35,-2324.73,TOP,270
C87,-2857.24,-3119.19,TOP,90
R143,-2857.24,-2994.02,TOP,270
J25,-2136.38,-3427.4,TOP,0
R153,-1912.36,-3135.19,TOP,90
R154,-2306.06,-3072.76,TOP,270
R156,-2207.64,-3072.76,TOP,270
U9,-2266.69,-2680.75,TOP,90
R155,-2343.75,-2405.16,TOP,0
U59,-2248.88,-2274.99,TOP,0
C117,-2304.38,-2168.94,TOP,0
D8,-2089.53,-3048.86,TOP,90
U53,-2049.16,-2346.6,TOP,270
U55,-2056.06,-2680.75,TOP,270
U38,-2069.84,-2503.58,TOP,270
C118,-2040.6,-2783.11,TOP,0
C115,-2148.58,-2482.21,TOP,270
U57,-1833.62,-2916.97,TOP,90
R160,-1794.25,-3131.82,TOP,90
R161,-1735.2,-3131.82,TOP,270
R159,-1853.31,-3135.19,TOP,90
C114,-1904.49,-2686.37,TOP,270
U8,-1795.04,-2443.74,TOP,90
C112,-1892.68,-2347.79,TOP,270
LED29,-1732.57,-3546.89,TOP,0
LED28,-1732.57,-3448.46,TOP,0
R152,-1853.31,-3430.46,TOP,270
R165,-1774.57,-3292.67,TOP,270
R163,-1735.2,-2682.43,TOP,270
R164,-1794.25,-2682.43,TOP,90
R158,-1656.46,-2721.8,TOP,90
C89,-1656.46,-2852.54,TOP,90
R157,-1971.42,-2918.65,TOP,270
C88,-1971.42,-2714.75,TOP,270
R162,-1853.31,-2682.43,TOP,270
C116,-1951.73,-2288.73,TOP,270
J26,-1309.61,-3427.4,TOP,0
U61,-1470.24,-2767.36,TOP,90
LED31,-925.48,-3546.89,TOP,0
LED30,-925.48,-3448.46,TOP,0
D10,-1243.07,-3088.23,TOP,90
R169,-1361.18,-3115.5,TOP,90
R167,-1518.66,-3115.5,TOP,270
R168,-1558.03,-2442.84,TOP,270
U65,-1440.42,-2425.84,TOP,0
C119,-1461.29,-2326.42,TOP,180
R166,-1144.65,-2994.02,TOP,-90
U60,-1255.13,-2304.86,TOP,270
U64,-1006.85,-2739.8,TOP,90
U62,-1262.76,-2759.49,TOP,90
U63,-1256.85,-2523.27,TOP,90
U58,-968.268,-2246.89,TOP,90
R173,-967.48,-3053.08,TOP,90
R174,-908.425,-3053.08,TOP,270
R172,-1085.59,-3053.08,TOP,90
R206,-987.165,-3233.61,TOP,270
R180,-928.11,-3233.61,TOP,270
R178,-849.37,-2603.69,TOP,270
R179,-849.37,-2679.06,TOP,270
R177,-1046.22,-2485.58,TOP,270
C120,-1144.65,-2662.75,TOP,90
C125,-1156.46,-2253.3,TOP,270
C113,-1341.5,-2702.12,TOP,270
C109,-1341.5,-2462.53,TOP,270
C126,-1065.91,-2186.94,TOP,90
U1,-2755.02,-1838.62,TOP,0
C1,-3205.95,-1598.07,TOP,0
C3,-2672.2,-1524.95,TOP,90
C2,-3443.86,-1797.17,TOP,270
U2,-3305.47,-1897.6,TOP,90
Q4,-3754.88,-1300.93,TOP,0
D12,-4020.63,-1283.11,TOP,0
R210,-3579.97,-377.598,TOP,0
R211,-3579.97,-428.78,TOP,180
R209,-3579.4,-535.079,TOP,0
R212,-3579.97,-586.26,TOP,180
J27,-3962.44,213.425,TOP,270
R187,-3579.97,-172.874,TOP,0
R188,-3583.34,-86.2598,TOP,0
R189,-3579.4,-224.055,TOP,180
R190,-3583.34,-46.8898,TOP,180
U66,-3498.98,-1115.79,TOP,180
J3,-1649.76,-1792.17,TOP,180
C93,-3733.51,-1405.16,TOP,180
U67,-3180.08,-1517.36,TOP,180
C94,-3520.35,-1208.31,TOP,180
U68,-3912.22,-1893.15,TOP,180
R183,-3678.39,-1869.72,TOP,180
R184,-3678.39,-1810.67,TOP,0
R181,-3677.83,-1916.97,TOP,0
C92,-3661.83,-1976.02,TOP,0
C127,-3993.35,-2027.2,TOP,180
R185,-3520.35,-1546.89,TOP,180
U69,-3714.72,-1539.8,TOP,180
R186,-3520.35,-1590.2,TOP,0
LED33,-4068.54,-1476.02,TOP,180
LED32,-4068.54,-1617.76,TOP,180
R208,-3945.54,-1476.02,TOP,0
R207,-3945.54,-1617.76,TOP,0
R182,-3677.83,-2035.08,TOP,180
C96,-3776.82,-1645.31,TOP,180
U22,759.843,-2482.48,TOP,180
U23,1248.03,-2462.8,TOP,180
U24,1732.28,-2462.8,TOP,180
U27,2165.35,-2464.37,TOP,180
U28,2630.94,-2470.31,TOP,180
U25,-312.795,-2767.72,TOP,90
U26,155.315,-2767.72,TOP,90
J6,2403.78,-433.898,TOP,90
J7,-110.394,-1103.19,TOP,180
J18,-128.504,-2152.01,TOP,180
U14,-370.63,-1609.09,TOP,270
U13,101.811,-1609.09,TOP,270
R50,-433.071,-3029.81,TOP,270
R51,-334.646,-3029.81,TOP,270
R52,-236.22,-3029.81,TOP,270
R53,-137.795,-3029.81,TOP,270
R54,19.685,-3029.81,TOP,270
R55,118.11,-3029.81,TOP,270
R56,236.22,-3029.81,TOP,270
R57,334.646,-3029.81,TOP,270
R63,-487.165,-2524.95,TOP,270
R64,-388.74,-2524.95,TOP,270
R65,-286.378,-2524.95,TOP,270
R66,-187.953,-2524.95,TOP,270
R67,-18.6614,-2524.95,TOP,270
R68,83.7008,-2524.95,TOP,270
R69,182.126,-2524.95,TOP,270
R70,280.551,-2524.95,TOP,270
C41,330.551,-1694.81,TOP,90
C40,-161.575,-1698.18,TOP,90
R38,1005.62,-2625.98,TOP,0
R39,1005.62,-2511.81,TOP,0
R40,1005.62,-2401.57,TOP,0
R41,1005.62,-2291.34,TOP,0
R42,1478.63,-2586.61,TOP,0
R43,1481.94,-2471.5,TOP,0
R44,1481.94,-2390.24,TOP,0
R45,1478.63,-2291.34,TOP,0
R46,1943.2,-2586.61,TOP,0
R47,1943.2,-2484.25,TOP,0
R48,1943.2,-2338.58,TOP,0
R49,2404.85,-2350.04,TOP,0
R82,2408.22,-2684.69,TOP,180
R72,2404.85,-2487.83,TOP,180
R73,2404.85,-2405.16,TOP,180
R74,2404.85,-2290.98,TOP,180
R79,2404.85,-2605.94,TOP,0
R80,2404.85,-2546.89,TOP,0
R81,2404.85,-2448.46,TOP,0
R58,549.496,-2657.48,TOP,0
R59,549.496,-2559.06,TOP,0
R60,549.496,-2460.63,TOP,0
R61,549.496,-2362.2,TOP,0
R62,1005.62,-2685.04,TOP,0
R71,1938,-2435,TOP,0
R75,1006.19,-2570.87,TOP,0
R76,1005.62,-2456.69,TOP,0
R77,1005.62,-2346.46,TOP,0
R78,1478.63,-2625.98,TOP,0
R83,1478.63,-2527.56,TOP,0
C42,733.307,-1364.1,TOP,90
U4,1814.57,-1742.13,TOP,180
C39,1737.51,-1820.87,TOP,180
U6,1029.88,-1568.39,TOP,90
J9,932.913,-439.409,TOP,90
U5,1551.57,-1742.13,TOP,180
C48,1478.06,-1830.71,TOP,180
J4,1661.26,-439.409,TOP,90
48V,-3248.03,489.496,TOP,90
5V,-3110.24,489.496,TOP,90
R1,-3248.03,352.646,TOP,90
R2,-3105.28,348.496,TOP,270
C64,-2348.62,-267.205,TOP,180
C65,-2348.62,-125,TOP,180
C66,-2348.62,-399.409,TOP,180
U32,-2495.04,-683.858,TOP,270
D3,-2449.69,-1055.2,TOP,270
L5,-2032.36,-740.236,TOP,0
C70,-2370.94,-741.921,TOP,90
R113,-2626.85,-722.236,TOP,270
R215,-2685.91,-722.236,TOP,90
C72,-1563.86,-635.906,TOP,90
C71,-1327.64,-678.236,TOP,270
C74,-1209.53,-678.236,TOP,270
R111,-549.165,12.1654,TOP,180
L7,-698.189,370.319,TOP,0
F3,-1235.2,385.787,TOP,270
R110,-1446.77,400.031,TOP,90
LED5,-1446.77,277.606,TOP,90
24V,-1327.64,-878.031,TOP,270
R100,-2644.85,-602.441,TOP,180
C69,-2566.11,-543.386,TOP,180
C68,-2549.8,-818.976,TOP,0
R99,-2626.85,-800.976,TOP,270
C67,-2685.91,-800.976,TOP,270
C46,2610.59,-1735.56,TOP,90
C90,-1026.54,-3069.08,TOP,90
C91,-928.11,-2469.58,TOP,270
R98,-2725.28,-600.756,TOP,90
R102,-1038.35,-320.795,TOP,90
R112,-998.976,-320.795,TOP,270
R170,-1044.54,-2956.34,TOP,0
R171,-987.165,-2485.58,TOP,270
U7,2326.34,-1568.39,TOP,270
J23,-3972.99,-3427.4,TOP,0
C4,-2379.63,-3.11024,TOP,0
C5,-2671.76,-2.79528,TOP,180
C8,-2700.7,-104.37,TOP,180
U30,-2905.69,-221.772,TOP,270
C53,-2875.06,-64.2913,TOP,0
LED1,-3157.6,-107.669,TOP,90
R3,-3157.6,-241.15,TOP,270
3V3,-3035,55,TOP,90
C52,-2810.63,-278.827,TOP,270
U3,-2770.63,-1542.95,TOP,0
R4,-4067,-2175,TOP,0
